Ward,AGE_INDEX,INCOME_INDEX,EDUCATION_INDEX,PERCENTAGE_WHITE,PERCENTAGE_FAMILY,HOUSEHOLDS
19100375,4,1,4,2,4,4
19100376,5,2,4,2,3,3
19100377,5,2,5,2,3,3
19100378,4,2,4,2,3,3
19100379,5,2,5,2,3,3
19100380,4,2,4,2,4,4
19100381,5,2,5,2,3,3
19100382,5,2,5,2,3,3
19100383,4,2,4,2,3,3
19100384,3,1,3,6,3,3
19100385,3,1,3,5,3,3
19100386,2,1,2,5,4,4
19100387,3,1,3,2,3,3
19100388,4,1,4,2,3,3
19100389,5,1,4,2,2,2
19100390,4,1,3,2,3,3
19100391,4,1,3,2,3,3
19100392,4,1,3,2,3,3
19100393,4,1,4,2,3,3
19100394,4,1,4,2,2,2
19100395,4,1,4,2,3,3
19100396,4,1,4,2,3,3
19100397,3,1,3,2,4,4
19100398,4,1,3,2,3,3
19100399,4,1,4,2,4,4
19100400,4,2,4,3,3,3
19100401,5,2,4,2,4,4
19100402,4,2,4,3,4,4
19100403,3,1,2,5,5,5
19100404,3,1,3,5,3,3
19100405,3,2,3,6,4,4
19100406,3,2,3,6,3,3
19100407,3,1,3,6,4,4
19100408,3,2,3,6,5,5
19100409,3,1,3,6,4,4
19100410,3,1,3,2,4,4
19100411,4,2,4,4,3,3
19100412,4,1,4,2,4,4
19100413,3,2,3,5,4,4
19100414,3,1,3,6,4,4
19100415,4,2,3,3,4,4
19100416,5,2,4,2,3,3
19100417,5,2,4,2,3,3
19100418,4,1,3,2,3,3
19100419,4,1,4,2,5,5
19100420,4,1,4,2,4,4
19100421,5,2,4,2,2,2
19100422,5,2,5,2,3,3
19100423,4,2,3,4,3,3
19100424,4,2,4,2,3,3
19100425,5,2,5,2,3,3
19100426,3,2,3,5,4,4
19100427,3,2,3,6,4,4
19100428,5,2,5,2,2,2
19100429,5,2,5,2,2,2
19100430,4,2,4,3,3,3
19100431,5,2,5,2,2,2
19100432,5,2,5,2,2,2
19100433,4,1,3,2,6,6
19100434,3,1,3,2,3,3
19100435,3,1,3,2,3,3
19100436,4,1,4,2,3,3
19100437,4,1,3,2,2,2
19100438,5,1,5,2,2,2
19100439,4,1,3,2,2,2
19100440,4,1,3,2,3,3
19100441,5,2,5,2,2,2
19100442,5,2,5,2,2,2
19100443,3,1,3,2,3,3
19100444,4,1,4,2,2,2
19100445,5,2,5,2,3,3
19100446,4,2,4,2,3,3
19100447,5,2,4,2,3,3
19100448,4,2,4,2,3,3
19100449,4,2,4,2,3,3
19100450,5,2,5,2,3,3
19100451,3,1,3,2,3,3
19100452,3,1,3,2,3,3
19100453,3,1,3,5,3,3
19100454,4,2,4,3,3,3
19100455,4,2,4,4,3,3
19100456,3,2,3,4,3,3
19100457,2,1,2,6,3,3
19100458,2,1,2,6,4,4
19100459,3,1,3,5,3,3
19100460,3,1,3,6,3,3
19100461,3,1,3,5,4,4
19100462,3,1,3,5,3,3
19100463,4,2,3,3,3,3
19100464,3,1,3,4,4,4
19100465,5,2,4,2,3,3
19100466,4,2,4,2,3,3
19100467,4,2,4,2,3,3
19100468,5,2,5,2,2,2
19100469,3,2,3,4,4,4
19100470,3,1,3,5,4,4
19100471,4,2,4,4,3,3
19100472,3,2,3,5,3,3
19100473,3,1,3,6,3,3
19100474,3,1,3,4,3,3
19100475,4,1,4,2,4,4
19100476,5,2,4,2,3,3
19100477,5,2,5,2,3,3
19100478,4,2,4,2,3,3
19100479,5,2,5,2,3,3
19100480,4,2,4,2,4,4
19100481,5,2,5,2,3,3
19100482,5,2,5,2,3,3
19100483,4,2,4,2,3,3
19100484,3,1,3,6,3,3
19100485,3,1,3,5,3,3
19100486,2,1,2,5,4,4
19100487,3,1,3,2,3,3
19100488,4,1,4,2,3,3
19100489,5,1,4,2,2,2
19100490,4,1,3,2,3,3
19100491,4,1,3,2,3,3
19100492,4,1,3,2,3,3
19100493,4,1,4,2,3,3
19100494,4,1,4,2,2,2
19100495,4,1,4,2,3,3
19100496,4,1,4,2,3,3
19100497,3,1,3,2,4,4
19100498,4,1,3,2,3,3
19100499,4,1,4,2,4,4
19100500,4,2,4,3,3,3
19100501,5,2,4,2,4,4
19100502,4,2,4,3,4,4
19100503,3,1,2,5,5,5
19100504,3,1,3,5,3,3
19100505,3,2,3,6,4,4
19100506,3,2,3,6,3,3
19100507,3,1,3,6,4,4
19100508,3,2,3,6,5,5
19100509,3,1,3,6,4,4
19100510,3,1,3,2,4,4
19100511,4,2,4,4,3,3
19100512,4,1,4,2,4,4
19100513,3,2,3,5,4,4
19100514,3,1,3,6,4,4
19100515,4,2,3,3,4,4
19100516,5,2,4,2,3,3
19100517,5,2,4,2,3,3
19100518,4,1,3,2,3,3
19100519,4,1,4,2,5,5
19100520,4,1,4,2,4,4
19100521,5,2,4,2,2,2
19100522,5,2,5,2,3,3
19100523,4,2,3,4,3,3
19100524,4,2,4,2,3,3
19100525,5,2,5,2,3,3
19100526,3,2,3,5,4,4
19100527,3,2,3,6,4,4
19100528,5,2,5,2,2,2
19100529,5,2,5,2,2,2
19100530,4,2,4,3,3,3
19100531,5,2,5,2,2,2
19100532,5,2,5,2,2,2
19100533,4,1,3,2,6,6
19100534,3,1,3,2,3,3
19100535,3,1,3,2,3,3
19100536,4,1,4,2,3,3
19100537,4,1,3,2,2,2
19100538,5,1,5,2,2,2
19100539,4,1,3,2,2,2
19100540,4,1,3,2,3,3
19100541,5,2,5,2,2,2
19100542,5,2,5,2,2,2
19100543,3,1,3,2,3,3
19100544,4,1,4,2,2,2
19100545,5,2,5,2,3,3
19100546,4,2,4,2,3,3
19100547,5,2,4,2,3,3
19100548,4,2,4,2,3,3
19100549,4,2,4,2,3,3
19100550,5,2,5,2,3,3
19100551,3,1,3,2,3,3
19100552,3,1,3,2,3,3
19100553,3,1,3,5,3,3
19100554,4,2,4,3,3,3
19100555,4,2,4,4,3,3
19100556,3,2,3,4,3,3
19100557,2,1,2,6,3,3
19100558,2,1,2,6,4,4
19100559,3,1,3,5,3,3
19100560,3,1,3,6,3,3
19100561,3,1,3,5,4,4
19100562,3,1,3,5,3,3
19100563,4,2,3,3,3,3
19100564,3,1,3,4,4,4
19100565,5,2,4,2,3,3
19100566,4,2,4,2,3,3
19100567,4,2,4,2,3,3
19100568,5,2,5,2,2,2
19100569,3,2,3,4,4,4
19100570,3,1,3,5,4,4
19100571,4,2,4,4,3,3
19100572,3,2,3,5,3,3
19100573,3,1,3,6,3,3
19100574,3,1,3,4,3,3
19100575,4,1,4,2,4,4
19100576,5,2,4,2,3,3
19100577,5,2,5,2,3,3
19100578,4,2,4,2,3,3
19100579,5,2,5,2,3,3
19100580,4,2,4,2,4,4
19100581,5,2,5,2,3,3
19100582,5,2,5,2,3,3
19100583,4,2,4,2,3,3
19100584,3,1,3,6,3,3
19100585,3,1,3,5,3,3
19100586,2,1,2,5,4,4
19100587,3,1,3,2,3,3
19100588,4,1,4,2,3,3
19100589,5,1,4,2,2,2
19100590,4,1,3,2,3,3
19100591,4,1,3,2,3,3
19100592,4,1,3,2,3,3
19100593,4,1,4,2,3,3
19100594,4,1,4,2,2,2
19100595,4,1,4,2,3,3
19100596,4,1,4,2,3,3
19100597,3,1,3,2,4,4
19100598,4,1,3,2,3,3
19100599,4,1,4,2,4,4
